epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,744.003,0.80407,0.64701,1.03263,0.84075,0.82784,0.87438,0.73935,0.71152,0.48783,0.92098,4.24235e-05,4.24235e-05,4.24235e-05
67,762.222,0.83903,0.64316,1.03224,0.85173,0.82569,0.87576,0.73802,0.70907,0.48713,0.92015,4.12454e-05,4.12454e-05,4.12454e-05
68,772.458,0.78288,0.61233,1.01325,0.87641,0.81639,0.87768,0.74057,0.70393,0.48512,0.91845,4.00673e-05,4.00673e-05,4.00673e-05
69,785.167,0.80643,0.63195,1.03178,0.89925,0.8061,0.88024,0.7404,0.70173,0.48227,0.91701,3.88892e-05,3.88892e-05,3.88892e-05
70,796.583,0.81248,0.6607,1.03141,0.88754,0.81067,0.87901,0.73969,0.70084,0.48207,0.91671,3.77111e-05,3.77111e-05,3.77111e-05
71,810.193,0.85265,0.66118,1.03089,0.85758,0.8237,0.87992,0.74379,0.69877,0.48046,0.91624,3.6533e-05,3.6533e-05,3.6533e-05
72,820.982,0.81612,0.64967,1.03851,0.85431,0.82289,0.88036,0.74211,0.69578,0.48029,0.91511,3.53549e-05,3.53549e-05,3.53549e-05
73,832.94,0.77647,0.62383,1.01057,0.85433,0.82466,0.88087,0.7459,0.69413,0.47964,0.91486,3.41768e-05,3.41768e-05,3.41768e-05
74,845.522,0.80764,0.64471,1.02728,0.85373,0.82845,0.88121,0.74546,0.69371,0.48034,0.91426,3.29987e-05,3.29987e-05,3.29987e-05
75,856.959,0.8111,0.63178,1.02365,0.92593,0.78616,0.88145,0.74568,0.69231,0.48103,0.91418,3.18206e-05,3.18206e-05,3.18206e-05
76,869.514,0.80301,0.62194,1.02857,0.8533,0.82878,0.8822,0.74457,0.69134,0.48076,0.91375,3.06425e-05,3.06425e-05,3.06425e-05
77,881.718,0.84285,0.64791,1.02511,0.85434,0.82969,0.88327,0.74685,0.68985,0.48056,0.91353,2.94644e-05,2.94644e-05,2.94644e-05
78,897.28,0.82927,0.64932,1.01629,0.86263,0.83009,0.88442,0.74805,0.6871,0.47745,0.91298,2.82863e-05,2.82863e-05,2.82863e-05
79,915.303,0.84543,0.63438,1.03053,0.86348,0.82993,0.88455,0.74868,0.68507,0.47495,0.91255,2.71082e-05,2.71082e-05,2.71082e-05
80,927.285,0.79448,0.59422,1.01301,0.86003,0.82828,0.88687,0.75129,0.68403,0.47227,0.91216,2.59301e-05,2.59301e-05,2.59301e-05
81,938.57,0.81333,0.63901,1.03357,0.87021,0.82565,0.8871,0.74858,0.68227,0.4713,0.91187,2.4752e-05,2.4752e-05,2.4752e-05
82,950.771,0.78837,0.62128,1.01837,0.86845,0.829,0.88823,0.74936,0.6805,0.47045,0.9112,2.35739e-05,2.35739e-05,2.35739e-05
83,963.787,0.8536,0.64767,1.03672,0.87148,0.83015,0.88928,0.75323,0.6786,0.46899,0.91089,2.23958e-05,2.23958e-05,2.23958e-05
84,974.261,0.75317,0.58248,1.00807,0.88641,0.82442,0.89002,0.7556,0.67761,0.46742,0.91034,2.12177e-05,2.12177e-05,2.12177e-05
85,985.962,0.8035,0.61012,1.00115,0.8881,0.8231,0.88986,0.75553,0.67728,0.46707,0.90994,2.00396e-05,2.00396e-05,2.00396e-05
86,996.668,0.82351,0.6493,1.02405,0.89139,0.82071,0.89045,0.75546,0.67622,0.46759,0.90957,1.88615e-05,1.88615e-05,1.88615e-05
87,1007.19,0.75605,0.58838,1.02888,0.90432,0.81493,0.88974,0.75666,0.67721,0.4683,0.90888,1.76834e-05,1.76834e-05,1.76834e-05
88,1018.12,0.74321,0.61136,1.017,0.90605,0.81113,0.88921,0.75373,0.67798,0.46766,0.90889,1.65053e-05,1.65053e-05,1.65053e-05
89,1029.02,0.80929,0.64672,1.02443,0.90072,0.8108,0.88932,0.75459,0.67746,0.468,0.90854,1.53272e-05,1.53272e-05,1.53272e-05
90,1039.62,0.79173,0.6162,1.01828,0.89675,0.81408,0.88799,0.75461,0.67783,0.4686,0.9083,1.41491e-05,1.41491e-05,1.41491e-05
91,1101.94,0.78897,0.60984,0.98092,0.86457,0.82671,0.88792,0.75275,0.68228,0.46854,0.90924,1.2971e-05,1.2971e-05,1.2971e-05
92,1110.76,0.8418,0.64298,1.0179,0.91826,0.802,0.88753,0.75245,0.68786,0.47226,0.91048,1.17929e-05,1.17929e-05,1.17929e-05
93,1120.16,0.81411,0.62541,0.99516,0.91461,0.79765,0.88582,0.7483,0.6923,0.47763,0.91248,1.06148e-05,1.06148e-05,1.06148e-05
94,1130.73,0.81529,0.60426,0.99839,0.90647,0.7972,0.88275,0.7414,0.70031,0.48385,0.91537,9.4367e-06,9.4367e-06,9.4367e-06
95,1139.94,0.80551,0.58973,1.00849,0.90219,0.79895,0.88256,0.73773,0.70485,0.48567,0.91688,8.2586e-06,8.2586e-06,8.2586e-06
96,1150.55,0.79143,0.5954,0.98214,0.89982,0.80232,0.88179,0.73944,0.70699,0.48916,0.91766,7.0805e-06,7.0805e-06,7.0805e-06
97,1160.25,0.77628,0.58132,0.98051,0.89951,0.80331,0.88131,0.74086,0.70933,0.49228,0.91897,5.9024e-06,5.9024e-06,5.9024e-06
98,1171.49,0.78366,0.57015,0.98434,0.89899,0.80062,0.88203,0.74236,0.71187,0.49313,0.9203,4.7243e-06,4.7243e-06,4.7243e-06
99,1181.28,0.77316,0.56979,0.97733,0.89829,0.8014,0.88091,0.74088,0.71268,0.49427,0.92089,3.5462e-06,3.5462e-06,3.5462e-06
100,1190.91,0.79212,0.59497,0.99451,0.89846,0.80129,0.88149,0.74188,0.71366,0.49501,0.92124,2.3681e-06,2.3681e-06,2.3681e-06
